0,173083.9391025641
1,580810.7732371795
2,636343.0705128205
3,585378.4006410256
4,578328.5248397436
5,636574.6370192308
6,624116.9278846154
7,612911.6834935897
8,634938.8525641026
9,615381.297275641
10,621858.7852564103
11,589424.4158653846
12,641025.3181089744
13,628739.9511217949
14,614901.5761217949
15,639260.8421474359
16,635566.5568910256
17,613745.4711538461
18,619967.5576923077
19,622060.3084935897
20,627425.3389423077
21,619849.499198718
22,616069.9911858974
23,620526.6594551282
24,611826.9423076923
25,607529.1963141026
26,627761.9126602564
27,627548.3461538461
28,624630.8613782051
29,632354.2924679487
30,638141.813301282
31,48427.805238381414
32,44858.324168669875
33,42476.757862580125
34,43807.118689903844
35,42128.65524839744
36,40784.3391426282
37,41917.784705528844
38,41521.93274238782
39,39850.46669671474
40,39252.260817307695
41,39552.508012820515
42,40614.065504807695
43,38259.953425480766
44,39135.1051181891
45,38175.94751602564
46,38311.97716346154
47,37974.30331029648
48,37565.172526041664
49,42383.16306089744
50,38870.765675080125
51,38372.99038461538
52,38885.94005408654
53,38746.018479567305
54,37685.49659455128
55,37394.261768830125
56,37675.15637520032
57,38247.451372195515
58,37139.23532652244
59,36801.10802283654
60,36689.094401041664
61,37522.39966446314
62,36832.328200120195
63,36340.93920272436
64,36217.706129807695
65,36594.623697916664
66,36497.080003004805
67,36494.73059395032
68,36561.83218149038
69,36219.58456029648
70,35918.077198517625
71,36071.68116486378
72,35842.369315905446
73,35512.336613581734
74,37246.16223457532
75,35946.650440705125
76,37719.96304086538
77,35606.360426682695
78,35623.23948317308
79,35336.4583583734
80,35845.22080328526
81,41330.78024839744
82,35598.47303185096
83,35330.1555488782
84,37249.32567107372
85,35146.62279647436
86,35327.61242988782
87,35545.9879306891
88,37057.063401442305
89,34802.444411057695
90,35222.182667267625
91,34896.99977463942
92,34845.34267327724
93,34757.12084334936
94,66471.68870192308
95,34807.5048828125
96,34552.59021935096
97,36715.0973056891
98,35660.37780448718
99,34828.123121995195
100,34746.31077223558
